현재 크롤링 페이지,title,작성시간,조회수,추천수,비추천수,링크,본문,댓글
1,키움에서 매수할때 쓸수있는 쿠폰준대요!,2025-02-10 20:18:55,조회 수 14,0,0,https://stocker.kr/stock_discuss/359909/page/1,"[""주식모으기? 그런게 새로 생겼는데"", ""지금 사전신청기간이라 신청하면 쿠폰준다더라구요"", ""신규회원은 10만원, 기존회원은 3만원 쿠폰 준다는데"", ""관심있으신분들 신청해보세요~!"", """", ""오픈알림 신청 고객 한정 만원 쿠폰 추가 증정 키움에서 모으고 최대 100,00원 쿠폰 받으세요 from WWW.KIWOOM.COM"", ""https://www.kiwoom.com/e/m/home/event/VEvent20250011View?from=069"", """", """", """"]",[]
1,3b운전게임,2025-01-29 12:29:20,조회 수 16,0,0,https://stocker.kr/stock_discuss/359757/page/1,"[""페다눌르면차가나가고브레이크를눌르면차가뭠춰진다. 이거를작동을해서할수가있었다.진짜로작동을해서할수가있었다. 그래서3b운전게임이될수가있었다."", ""운전게임을언제어디서든다할수있는게임이로다."", ""그래진짜로 운전게임으로신도시도가볼수가있었다."", ""신도시도가면 밤과낮이될수가있다.""]",[]
1,명절에 세뱃돈 뜯기고 이런걸로 위안받네요,2025-01-28 12:17:16,조회 수 14,0,0,https://stocker.kr/stock_discuss/359737/page/1,"[""복권 긁으면 소숫점 주식 주는데 테슬라 애플 이런거 있네요ㅋㅋㅋ"", ""이런거라도 하면서 커피값 모으세요 ㅜ"", ""복권 긁어서 나온 미국주식 7 종목 다 드려요. 미국주식 거래가 없거나, 3개월동안 거래가 없으시면 참여하세요! from EVT.KIWOOM.COM"", ""https://evt.kiwoom.com/e/m/home/event/VEvent20250004View?from=069"", """", """", """"]",[]
1,2025년 1월 21일 상승률 TOP30,2025-01-22 08:43:09,조회 수 19,0,0,https://stocker.kr/stock_discuss/359323/page/1,"[""2025년 1월 21일 상승률 TOP30\n\n1. 비케이홀딩스(29.97%) : 상승 이유 알 수 없음\n\n2. 와이팜(29.91%) : 북미 최대 전기차 업체 차세대 모델에 '자율주행핵심' FEM 본격 납품 예정 소식에 상한가\n\n3. 티웨이홀딩스(29.89%) : 대명소노그룹, 티웨이항공 경영진에 경영개선 요구서 발송에 따른 경영권 분쟁 본격화 소식에 예림당 그룹주 상승 속 상한가\n\n4. 나노브릭(24.87%) : 상승 이유 알 수 없음\n\n5. 고영(19.31%) : 뇌수술용 의료로봇 美 FDA 인허가 획득 모멘텀 지속에 급등\n\n6. 대창솔루션(18.04%) : 트럼프 2기 개막 속 정책 수혜 기대감지속 등에 조선기자재/ LNG(액화천연가스) 테마 상승 속 급등\n\n7. 예림당(16.85%) : 대명소노그룹, 티웨이항공 경영진에 경영개선 요구서 발송에 따른 경영권 분쟁 본격화 소식에 예림당 그룹주 상승 속 급등\n\n8. 레이(15.98%) : 상승 이유 알 수 없음\n\n9. 로보티즈(13.82%) : 로봇 테마 상승 속 급등\n\n10. 제이엔비(13.61%) : 상승 이유 알 수 없음\n\n11. 인화정공(13.15%) : 트럼프 2기 개막 속 정책 수혜 기대감 지속 등에 조선기자재 테마 상승 속 급등\n\n12. 티로보틱스(10.8%) : 로봇 테마 상승 속 급등\n\n13. 태광(10.64%) : 조선기자재/ 피팅(관이음쇠)/밸브 테마 상승 속 美 LNG 터미널 신규 인허가 재개에 따른 밸류에이션 재평가 기대감 등에 급등\n\n출처. 주식뉴스! https://stockinfo7.com\n\n14. 인스코비(10.54%) : 지난해 4분기 화장품업종 전반 양호한 실적 전망 등에 일부 화장품 테마 상승 속 급등\n\n15. 오이솔루션(10.08%) : 상승 이유 알 수 없음\n\n16. 더블유에스아이(10.03%) : 자회사 이지메디봇, 로봇 자궁 거상기 '유봇(U-BOT)'미국 특허출원 완료 소식에 급등\n\n17. 파이버프로(9.76%) : 트럼프 대통령, '화성계획' 발언 등에 우주항공산업(누리호/인공위성 등) 테마 상승 속 급등\n\n18. 금호석유(9.7%) : 올해 실적 개선 전망 등에 급등\n\n19. HD현대미포(9.67%) : 조선/ LNG(액화천연가스) 테마 상승 속 미국 전략상선단 관련 수혜 전망 등에 급등\n\n20. 티웨이항공(9.62%) : 대명소노그룹, 동사 경영진에 경영개선 요구서 발송에 따른 경영권 분쟁 본격화 소식에 예림당 그룹주 상승 속 급등\n\n21. 영풍(9.57%) : 법원, 고려아연 임시 주주총회 의안상정 금지 가처분 인용 소식에 급등\n\n22. 글로본(9.47%) : 지난해 4분기 화장품 업종 전반 양호한 실적 전망 등에 일부 화장품 테마 상승 속 급등\n\n23. 엑스페릭스(9.32%) : 윤상철 대표,美 트럼프 대통령 취임식 참석 소식 속 미국 진출 기대감 등에 급등\n\n24. 이니텍(9.18%) : 매각 기대감 부각 등에 급등\n\n25. 화인베스틸(8.35%) : 트럼프 2기 개막 속 정책 수혜 기대감지속 등에 조선기자재 테마 상승 속 강세\n\n26. 모나용평(8.24%) : 트럼프, \""北 김정은 핵무기 보유, 난 그와 잘지냈다\"" 등 우호적 관계 발언에 관광 테마 상승 속 강세\n\n27. 국영지앤엠(8.2%) : 트럼프, \""北 김정은 핵무기 보유, 난 그와 잘지냈다\"" 등 우호적 관계 발언에 철도 테마 상승 속 강세\n\n28. 에스비비테크(8.2%) : 로봇 테마 상승 속 급등\n\n29. 삼영이엔씨(7.86%) : 상승 이유 알 수 없음\n\n30. 비츠로셀(7.86%) : 상승 이유 알 수 없음\n\n\n\n\n[티웨이항공 분쟁 관련주]\n티웨이홀딩스 예림당 티웨이항공\n\n[대북 관련주]\n모나용평 국영지앤엠\n\n[로봇 관련주]\n고영 로보티즈 더블유에스아이 에스비비테크"", """", """"]",[]
1,국장이 이제 살아나네요,2025-01-16 22:42:46,조회 수 20,0,0,https://stocker.kr/stock_discuss/359067/page/1,"["""", ""이번 장 잘 벌어봅시다.""]",[]
1,키움증권 멤버십..,2025-01-14 18:41:14,조회 수 22,0,0,https://stocker.kr/stock_discuss/359043/page/1,"[""아래분이 키움 멤버십 생겨서 리워드 준다길래"", ""저도 언능 들어가서 봤더니 전 만원도 못받네요....ㅋㅋㅋ"", ""이거 리워드 받는분들 계신가요??"", ""들어가서 한번 확인해보셔요!"", ""키움증권 투자정보 - 화면이동 from I.KIWOOM.COM"", ""https://i.kiwoom.com/_HR1"", """", """", """", """"]",[]
1,해외주식 하시는 분들은 이거 확인해보세요,2025-01-13 16:29:58,조회 수 27,0,0,https://stocker.kr/stock_discuss/359022/page/1,"[""키움에서 멤버십 혜택이 나왔네요"", ""거래량 높으면 등급이 올라가는 시스템인데"", ""신청해야 리워드 준다고 하니 꼭 확인하고 신청하셔요"", """", ""키움증권 투자정보 - 화면이동 from I.KIWOOM.COM"", ""https://i.kiwoom.com/_HR1"", """", """", """"]",[]
1,키움증권 이런것도 나왔네요,2025-01-10 15:55:09,조회 수 227,1,0,https://stocker.kr/stock_discuss/358968/page/1,"[""이거 멤버십 제일 높은 등급은 거래금액이 200억원이라네요..."", ""제일 낮은등급은 5억원ㅋㅋㅋㅋㅋㅋㅋ"", ""난 5만원도 없다ㅠㅠㅠㅠㅠㅠ"", """", ""https://i.kiwoom.com/_HR1"", """", """", """", """"]",[]
1,반도체주,2025-01-06 15:43:44,조회 수 17,0,0,https://stocker.kr/stock_discuss/358939/page/1,"[""하이닉스를 필두로 반등 시작하네요"", """", ""삼성전자가 오르면 삼성향 반도체들도 반등 하지 싶습니다."", """", ""오늘도 고생많으셨습니다.""]",[]
1,방산주,2025-01-03 14:52:28,조회 수 195,1,0,https://stocker.kr/stock_discuss/358806/page/1,"[""이제 방산주 \n들어갈 타이밍인가 ?""]",[]
1,삼성 주가,2024-12-27 10:03:41,조회 수 224,1,0,https://stocker.kr/stock_discuss/358700/page/1,"[""삼성 주가 어떻게 될 것 같으신가요?"", ""1. 떨어진다"", ""2. 오른다""]",[]
1,다들 투자 로봇에 대해 어떻게 생각함??,2024-12-05 18:43:52,조회 수 34,0,0,https://stocker.kr/stock_discuss/358515/page/1,"[""대학원 과정에서 고객들이 로보 어드바이저를 활용한 투자 서비스를 이용할 때\n고객들은 어떤 정보를 더 중요하게 생각하는지에 관한 설문입니다."", """", ""설문해주시면 메일 주소로 스벅 커피 쿠폰 쏘겠습니다."", ""아래 링크 2개 중 1개 선택해서 진행부탁드립니다!"", """", ""금융업계의 AI 서비스 관련 설문\n- 설문1\n- 설문2""]",[]
1,국장 정리하고 미장으로 넘어갑니다,2024-11-27 20:51:37,조회 수 227,1,0,https://stocker.kr/stock_discuss/358105/page/1,"[""이젠 국장보다 미장이라더니"", ""정리하고 이제 미장으로 넘어가려구요"", ""정보 좀 얻어보려구 검새하다가"", ""키움증권에서 미국주식 10종목 준다길래해봤더니"", ""애플 스벅 아마존 엔비디아 골고루 다 나오네요"", ""아직 안하셨으면 한번 해보세요!"", ""카드를 뒤집으면 미국주식 10종목 다 드려요! 카카오 공유를 통해 뽑은 미국주식 10종목 다 드려요 from EVT.KIWOOM.COM"", ""https://evt.kiwoom.com/e/m/home/event/VEvent20240082View?from=069"", """", """", """"]",[]
1,국장은 언제쯤 좋아질런지.....,2024-11-21 13:12:17,조회 수 27,0,0,https://stocker.kr/stock_discuss/357873/page/1,"[""비트코인은 계속 최고가를 갱신하고"", """", ""미국도 잘가고....."", """", ""코리아는 도대체 왜 자꾸 빠지는건지 답이 없네요....""]",[]
1,키움증권 이벤트 또하네요,2024-11-15 14:01:48,조회 수 36,0,0,https://stocker.kr/stock_discuss/357789/page/1,"[""이번달엔 주식 열개 다 준대요;; 저번에 서버 터졌는데 이번엔 사람 더 몰릴듯하네여"", ""다들 몰리기전에 빨리 하세유"", """", ""카드를 뒤집으면 미국주식 10종목 다 드려요! 카카오 공유를 통해 뽑은 미국주식 10종목 다 드려요 from EVT.KIWOOM.COM"", ""https://evt.kiwoom.com/e/m/home/event/VEvent20240082View?from=069"", """", """", """"]",[]
